IndexingSet,Generators,I1,I2,C
"{1, 2, 3, 4, 5, 6}","ideal(18*x_5*x_6*y_3*y_4-14*x_4*x_6*y_3*y_5-4*x_3*x_6*y_4*y_5+x_4*x_5*y_3*y_6-4*x_3*x_5*y_4*y_6+3*x_3*x_4*y_5*y_6,24*x_5*x_6*y_2*y_4-21*x_4*x_6*y_2*y_5-3*x_2*x_6*y_4*y_5+2*x_4*x_5*y_2*y_6-6*x_2*x_5*y_4*y_6+4*x_2*x_4*y_5*y_6,6*x_5*x_6*y_1*y_4-14*x_4*x_6*y_1*y_5+8*x_1*x_6*y_4*y_5+3*x_4*x_5*y_1*y_6-4*x_1*x_5*y_4*y_6+x_1*x_4*y_5*y_6,6*x_5*x_6*y_2*y_3-12*x_3*x_6*y_2*y_5+6*x_2*x_6*y_3*y_5-4*x_3*x_5*y_2*y_6+3*x_2*x_5*y_3*y_6+x_2*x_3*y_5*y_6,7*x_4*x_6*y_2*y_3-16*x_3*x_6*y_2*y_4+9*x_2*x_6*y_3*y_4-6*x_3*x_4*y_2*y_6+4*x_2*x_4*y_3*y_6+2*x_2*x_3*y_4*y_6,x_4*x_5*y_2*y_3+8*x_3*x_5*y_2*y_4-9*x_2*x_5*y_3*y_4-9*x_3*x_4*y_2*y_5+8*x_2*x_4*y_3*y_5+x_2*x_3*y_4*y_5,12*x_5*x_6*y_1*y_3-4*x_3*x_6*y_1*y_5-8*x_1*x_6*y_3*y_5-3*x_3*x_5*y_1*y_6+x_1*x_5*y_3*y_6+2*x_1*x_3*y_5*y_6,28*x_4*x_6*y_1*y_3-4*x_3*x_6*y_1*y_4-24*x_1*x_6*y_3*y_4-9*x_3*x_4*y_1*y_6+x_1*x_4*y_3*y_6+8*x_1*x_3*y_4*y_6,2*x_4*x_5*y_1*y_3+x_3*x_5*y_1*y_4-3*x_1*x_5*y_3*y_4-3*x_3*x_4*y_1*y_5+x_1*x_4*y_3*y_5+2*x_1*x_3*y_4*y_5,30*x_5*x_6*y_1*y_2-6*x_2*x_6*y_1*y_5-24*x_1*x_6*y_2*y_5-9*x_2*x_5*y_1*y_6+4*x_1*x_5*y_2*y_6+5*x_1*x_2*y_5*y_6,35*x_4*x_6*y_1*y_2-3*x_2*x_6*y_1*y_4-32*x_1*x_6*y_2*y_4-12*x_2*x_4*y_1*y_6+2*x_1*x_4*y_2*y_6+10*x_1*x_2*y_4*y_6,20*x_3*x_6*y_1*y_2-12*x_2*x_6*y_1*y_3-8*x_1*x_6*y_2*y_3-3*x_2*x_3*y_1*y_6+8*x_1*x_3*y_2*y_6-5*x_1*x_2*y_3*y_6,5*x_4*x_5*y_1*y_2+3*x_2*x_5*y_1*y_4-8*x_1*x_5*y_2*y_4-8*x_2*x_4*y_1*y_5+3*x_1*x_4*y_2*y_5+5*x_1*x_2*y_4*y_5,5*x_3*x_5*y_1*y_2-6*x_2*x_5*y_1*y_3+x_1*x_5*y_2*y_3+x_2*x_3*y_1*y_5-6*x_1*x_3*y_2*y_5+5*x_1*x_2*y_3*y_5,15*x_3*x_4*y_1*y_2-16*x_2*x_4*y_1*y_3+x_1*x_4*y_2*y_3+x_2*x_3*y_1*y_4-16*x_1*x_3*y_2*y_4+15*x_1*x_2*y_3*y_4)","set {set {1, 2}, set {4, 5}, set {5, 2}, set {4, 1}, set {6, 3}, set {5, 6}, set {1, 6}, set {4, 2}, set {1, 3}, set {5, 3}, set {5, 1}, set {4, 6}, set {6, 2}, set {2, 3}, set {4, 3}}","set {set {1, 2}, set {4, 5}, set {5, 2}, set {4, 1}, set {6, 3}, set {5, 6}, set {1, 6}, set {4, 2}, set {1, 3}, set {5, 3}, set {5, 1}, set {4, 6}, set {6, 2}, set {2, 3}, set {4, 3}}","set {set {1, 4, 5, 6}, set {1, 2, 5, 6}, set {1, 2, 3, 5}, set {1, 3, 4, 5}, set {2, 3, 4, 6}, set {2, 4, 5, 6}, set {1, 2, 4, 6}, set {1, 3, 5, 6}, set {1, 2, 3, 4}, set {2, 3, 4, 5}, set {1, 2, 4, 5}, set {2, 3, 5, 6}, set {3, 4, 5, 6}, set {1, 3, 4, 6}, set {1, 2, 3, 6}}"
"{1, 2, 3, 4, 5}","ideal(y_6,9*x_5*y_3*y_4-7*x_4*y_3*y_5-2*x_3*y_4*y_5,8*x_5*y_2*y_4-7*x_4*y_2*y_5-x_2*y_4*y_5,3*x_5*y_1*y_4-7*x_4*y_1*y_5+4*x_1*y_4*y_5,x_5*y_2*y_3-2*x_3*y_2*y_5+x_2*y_3*y_5,7*x_4*y_2*y_3-16*x_3*y_2*y_4+9*x_2*y_3*y_4,3*x_5*y_1*y_3-x_3*y_1*y_5-2*x_1*y_3*y_5,7*x_4*y_1*y_3-x_3*y_1*y_4-6*x_1*y_3*y_4,5*x_5*y_1*y_2-x_2*y_1*y_5-4*x_1*y_2*y_5,35*x_4*y_1*y_2-3*x_2*y_1*y_4-32*x_1*y_2*y_4,5*x_3*y_1*y_2-3*x_2*y_1*y_3-2*x_1*y_2*y_3)","set {set {4, 2}, set {1, 3}, set {5, 3}, set {1, 2}, set {4, 5}, set {5, 2}, set {4, 1}, set {5, 1}, set {2, 3}, set {4, 3}}","set {set {1}, set {5}, set {3}, set {}, set {2}, set {4}}","set {set {4, 2, 3}, set {1, 2, 3}, set {4, 1, 3}, set {4, 5, 3}, set {5, 2, 3}, set {4, 1, 2}, set {4, 5, 2}, set {5, 1, 3}, set {5, 1, 2}, set {4, 5, 1}}"
"{1, 2, 3, 4, 6}","ideal(y_5,18*x_6*y_3*y_4+x_4*y_3*y_6-4*x_3*y_4*y_6,12*x_6*y_2*y_4+x_4*y_2*y_6-3*x_2*y_4*y_6,6*x_6*y_1*y_4+3*x_4*y_1*y_6-4*x_1*y_4*y_6,6*x_6*y_2*y_3-4*x_3*y_2*y_6+3*x_2*y_3*y_6,x_4*y_2*y_3+8*x_3*y_2*y_4-9*x_2*y_3*y_4,12*x_6*y_1*y_3-3*x_3*y_1*y_6+x_1*y_3*y_6,2*x_4*y_1*y_3+x_3*y_1*y_4-3*x_1*y_3*y_4,30*x_6*y_1*y_2-9*x_2*y_1*y_6+4*x_1*y_2*y_6,5*x_4*y_1*y_2+3*x_2*y_1*y_4-8*x_1*y_2*y_4,5*x_3*y_1*y_2-6*x_2*y_1*y_3+x_1*y_2*y_3)","set {set {4, 2}, set {1, 3}, set {1, 2}, set {4, 1}, set {6, 3}, set {4, 6}, set {6, 2}, set {1, 6}, set {2, 3}, set {4, 3}}","set {set {1}, set {3}, set {}, set {2}, set {6}, set {4}}","set {set {4, 2, 3}, set {1, 2, 3}, set {4, 1, 3}, set {4, 1, 2}, set {4, 6, 3}, set {6, 2, 3}, set {4, 6, 2}, set {1, 6, 3}, set {1, 6, 2}, set {4, 1, 6}}"
"{1, 2, 3, 5, 6}","ideal(y_4,14*x_6*y_3*y_5-x_5*y_3*y_6-3*x_3*y_5*y_6,21*x_6*y_2*y_5-2*x_5*y_2*y_6-4*x_2*y_5*y_6,14*x_6*y_1*y_5-3*x_5*y_1*y_6-x_1*y_5*y_6,7*x_6*y_2*y_3-6*x_3*y_2*y_6+4*x_2*y_3*y_6,x_5*y_2*y_3-9*x_3*y_2*y_5+8*x_2*y_3*y_5,28*x_6*y_1*y_3-9*x_3*y_1*y_6+x_1*y_3*y_6,2*x_5*y_1*y_3-3*x_3*y_1*y_5+x_1*y_3*y_5,35*x_6*y_1*y_2-12*x_2*y_1*y_6+2*x_1*y_2*y_6,5*x_5*y_1*y_2-8*x_2*y_1*y_5+3*x_1*y_2*y_5,15*x_3*y_1*y_2-16*x_2*y_1*y_3+x_1*y_2*y_3)","set {set {1, 3}, set {5, 3}, set {1, 2}, set {5, 2}, set {5, 1}, set {6, 3}, set {6, 2}, set {1, 6}, set {5, 6}, set {2, 3}}","set {set {1}, set {5}, set {3}, set {}, set {2}, set {6}}","set {set {1, 2, 3}, set {5, 2, 3}, set {5, 1, 3}, set {5, 1, 2}, set {6, 2, 3}, set {5, 6, 3}, set {1, 6, 3}, set {1, 6, 2}, set {5, 6, 2}, set {5, 1, 6}}"
"{1, 2, 4, 5, 6}","ideal(y_3,4*x_6*y_4*y_5+4*x_5*y_4*y_6-3*x_4*y_5*y_6,12*x_6*y_2*y_5+4*x_5*y_2*y_6-x_2*y_5*y_6,4*x_6*y_1*y_5+3*x_5*y_1*y_6-2*x_1*y_5*y_6,8*x_6*y_2*y_4+3*x_4*y_2*y_6-x_2*y_4*y_6,8*x_5*y_2*y_4-9*x_4*y_2*y_5+x_2*y_4*y_5,4*x_6*y_1*y_4+9*x_4*y_1*y_6-8*x_1*y_4*y_6,x_5*y_1*y_4-3*x_4*y_1*y_5+2*x_1*y_4*y_5,20*x_6*y_1*y_2-3*x_2*y_1*y_6+8*x_1*y_2*y_6,5*x_5*y_1*y_2+x_2*y_1*y_5-6*x_1*y_2*y_5,15*x_4*y_1*y_2+x_2*y_1*y_4-16*x_1*y_2*y_4)","set {set {4, 2}, set {1, 2}, set {4, 1}, set {4, 5}, set {5, 2}, set {5, 1}, set {4, 6}, set {6, 2}, set {1, 6}, set {5, 6}}","set {set {1}, set {5}, set {}, set {2}, set {4}, set {6}}","set {set {4, 1, 2}, set {4, 5, 2}, set {5, 1, 2}, set {4, 5, 1}, set {4, 6, 2}, set {1, 6, 2}, set {5, 6, 2}, set {4, 5, 6}, set {4, 1, 6}, set {5, 1, 6}}"
"{1, 3, 4, 5, 6}","ideal(y_2,3*x_6*y_4*y_5+6*x_5*y_4*y_6-4*x_4*y_5*y_6,6*x_6*y_3*y_5+3*x_5*y_3*y_6+x_3*y_5*y_6,6*x_6*y_1*y_5+9*x_5*y_1*y_6-5*x_1*y_5*y_6,9*x_6*y_3*y_4+4*x_4*y_3*y_6+2*x_3*y_4*y_6,9*x_5*y_3*y_4-8*x_4*y_3*y_5-x_3*y_4*y_5,3*x_6*y_1*y_4+12*x_4*y_1*y_6-10*x_1*y_4*y_6,3*x_5*y_1*y_4-8*x_4*y_1*y_5+5*x_1*y_4*y_5,12*x_6*y_1*y_3+3*x_3*y_1*y_6+5*x_1*y_3*y_6,6*x_5*y_1*y_3-x_3*y_1*y_5-5*x_1*y_3*y_5,16*x_4*y_1*y_3-x_3*y_1*y_4-15*x_1*y_3*y_4)","set {set {1, 3}, set {5, 3}, set {4, 1}, set {4, 5}, set {5, 1}, set {6, 3}, set {4, 6}, set {1, 6}, set {5, 6}, set {4, 3}}","set {set {1}, set {5}, set {3}, set {}, set {4}, set {6}}","set {set {4, 1, 3}, set {4, 5, 3}, set {5, 1, 3}, set {4, 5, 1}, set {4, 6, 3}, set {1, 6, 3}, set {5, 6, 3}, set {4, 5, 6}, set {4, 1, 6}, set {5, 1, 6}}"
"{1}","ideal(y_6,y_5,y_4,y_3,y_2)","set {}","set {set {}}","set {}"
"{2, 3, 4, 5, 6}","ideal(y_1,8*x_6*y_4*y_5-4*x_5*y_4*y_6+x_4*y_5*y_6,8*x_6*y_3*y_5-x_5*y_3*y_6-2*x_3*y_5*y_6,24*x_6*y_2*y_5-4*x_5*y_2*y_6-5*x_2*y_5*y_6,24*x_6*y_3*y_4-x_4*y_3*y_6-8*x_3*y_4*y_6,3*x_5*y_3*y_4-x_4*y_3*y_5-2*x_3*y_4*y_5,16*x_6*y_2*y_4-x_4*y_2*y_6-5*x_2*y_4*y_6,8*x_5*y_2*y_4-3*x_4*y_2*y_5-5*x_2*y_4*y_5,8*x_6*y_2*y_3-8*x_3*y_2*y_6+5*x_2*y_3*y_6,x_5*y_2*y_3-6*x_3*y_2*y_5+5*x_2*y_3*y_5,x_4*y_2*y_3-16*x_3*y_2*y_4+15*x_2*y_3*y_4)","set {set {4, 2}, set {5, 3}, set {4, 5}, set {5, 2}, set {6, 3}, set {6, 2}, set {4, 6}, set {5, 6}, set {2, 3}, set {4, 3}}","set {set {5}, set {3}, set {}, set {2}, set {4}, set {6}}","set {set {4, 2, 3}, set {5, 2, 3}, set {4, 5, 3}, set {4, 5, 2}, set {6, 2, 3}, set {4, 6, 3}, set {4, 6, 2}, set {5, 6, 3}, set {5, 6, 2}, set {4, 5, 6}}"
"{2}","ideal(y_6,y_5,y_4,y_3,y_1)","set {}","set {set {}}","set {}"
"{3}","ideal(y_6,y_5,y_4,y_2,y_1)","set {}","set {set {}}","set {}"
